705,ambar 1.64gr
706,ambar 2.09gr
707,ambar 5.95gr
708,ambar 3.83gr
709,ambar 1.40gr
710,turquesa 3.94gr
711,turquesa 7.84gr
712,turquesa 4.84gr
713,turquesa 6.60gr
714,espinela 2.08ct
715,granate 1.18ct
716,ambar 2.16gr
717,granate 1.59ct
718,ambar 0.62gr
719,fluorita 1.41ct
720,esfena 1.87ct
721,turmalina 1.05ct
722,ortoclasa 2.81ct
723,forsterita 0.33ct
724,esfalerita 7.40ct
725,esfalerita 10.50ct
726,rodocrosita 12.70gr
727,andesina 3.81ct
728,jade jadeita 9.80ct
729,"peridoto 5,5gr"
740,turmalina 0.95ct
741,espinela 1ct
742,espinela 1.05ct
743,lava 5.50gr
744,zafiro 0.59ct
745,andesina 4.62ct
746,esfalerita 6.45ct
747,prehnita 3.51 ct
748,granate 7.98 ct
749,andesina 5.27 ct
750,aguamarina 5.89 ct
751,aguamarina 7.77ct
752,aguamarina 1.91ct
753,turmalina 3.41ct
754,zafiro 1.56ct
755,"jade jadeita 13,40ct"
756,"jade jadeita 8,40ct"
757,"jade jadeita 7,00ct"
758,jade jadeita 25ct
759,"amatista 8,10ct"
760,"amatista 3,60"
761,zafiro 0.95ct
762,zafiro 0.78ct
763,zafiro 0.55ct
764,zafiro 0.57ct
765,esmeralda 0.40ct
766,opalo de fuego 1.01ct
767,esmeralda 0.20ct
768,aguamarina 6.40ct
769,rubí 2.20
770,"rubí 13,90"
771,"amatista 5,30"
772,"amatista 5,95"
773,colgante rodocrosita
774,colgante howlita
779,"granate tsavorita 0,25 (2u)"
780,granate 1
785,apatito 26ct
786,"peridoto 2,70ct (2u)"
787,"pirita 22,40ct"
788,opalo de fuego 1.10ct
789,amazonita 13.80ct
790,amatista 3.80ct
791,amatista 3.30ct
792,zafiro 0.69ct
793,rutil 26.20ct
794,kunzita 4.65ct
795,espinela 0.85ct
796,zafiro 29.10ct
797,turmalina 6.50ct
798,turmalina 8.30ct
799,estaurolita 14.57gr
,
,
