GCBUM 121,JASPE BUMBLE BEE
GCSER124,SERAFINITA
GCEST122,ESTROMATOLITO
GCBUM 120,JASPE BUMBLE BEE
GCSER 106,SERAFINITA
MINMOLD 4,MOLDAVITA
JANEUD 95,ANILLO EUDIALITA
GCQUA119,CARVING HOME
GFANDA 44,ANDALUCITA
GFESPE 46,ESPESARTITA
JAGCAL 92,AGUJA DE CALCEDONIA
JANJN 93,ANILLO CON JADE NEFRITA
JANESP 91,ANILLO CON ESPINELA
JANPER 90,ANILLO PERIDOTO
JANLAP 89,ANILLO LAPIZLAZULI
MINANGE 54,ANGELITA
MINANGE 55,ANGELITA
MINANGE 56,ANGELITA
MINMALA 57,MALAQUITA
MBAMAT 53,CUARZO CACTUS
GFMALA 114,MALAQUITA 
GFAMAT 113,AMATISTA
GFQROS 112,CUARZO ROSA 
JARCORJ 85,PENDIENTES CORAL JAPON
JARPERX 86,PENDIENTES DE PERLA 
CL.TURQ88,COLGANTE  TURQUESA NATURAL
GCPREN 118,PREHNITA
GFAPAT 116,APATITO 
GFRODO 107,GRANAT RODOLITA 
MINPAIS 53,PAISINA 
MINPAIS 54,PAISINA 
GCOPAL 108,OPAL AZUL
GFPEZZ 110 ,PEZZOTTAITA
GFSAFI 109,ZAFIRO
JARJACC 87,JACINTO DE COMPOSTELA
GFHACK 106,HACKMANITA
GFGRAD 111,GRANAT DEMANTOIDE
JCLATZA 83,COLGANTE AZABACHE LABRADO
JCLATZA 84,PENDIENTES DE AZABACHE
JCLATZA 85,PENDIENTES DE AZABACHE
JCLATZA 82,COLGANTE AZABACHE LABRADO
JCLATZA 81,BUHO DE AZABACHE
JCLATZA 80,CORAZON DE AZABACHE
JCLATZA 79,CRUZ DE AZABACHE
JCLATZA 78,CRUZ DE AZABACHE
JCLATZA 77,PUÑO DE AZABACHE
JCLATZA 76,PUÑO DE AZABACHE
JCLATZA 75,CRUZ DE AZABACHE
JCLATZA 74,PUÑO DE AZABACHE
JCLPREH 71,Colgante de prehnita 
JCLPLAT 72,Concha de plata
GFESF 105,ESFALERITA
JCLQUAR 73,COLGANTE CUARZO FADEN
GCOPAL 103,OPALO MEJICO
GCOPAL 104,OPALO MEJICO
GCOPAL 102,OPALO MEJICO
JCLLAPI 70,COLGANTE LAPISLAZULI
JCLQCIT 67,COLGANTE CUARZO CITRINO
JCLJANE 68,COLGANTE  JADE NEFRITA
JCLJANE 66,COLGANTE  JADE NEFRITA
JCLTURQ 64,COLGANTE  TURQUESA NATURAL
JCLTURM 62,COLLAR DE TURMALINA
JCLTURM 63,COLLAR DE TURMALINA
JCLCRIS 61,COLGANTE CRISOPRASA
JCLPEPA 51,PENDULO DE PLATA
JCLAMAF 59,COLGANTE AMATISTA
JCLQUAR 58,COLGANTE CUARZO
JCLULTI 50,COLGANTE OJO DE TIGRE
JCLAMBA 56,COLGANTE AMBAR
JCLNACA 55,COLGANTE DE PERLAS KEISHI
JCLCORA 54,COLGANTE CORAL 
JCLCOJA 53,COLGANTE CORAL 
JCLTURM 52,COLGANTE TURMALINA LABRADA
JCLOHMP 60,COLGANTE OM PLATA
JCLVARI 57,COLGANTE VARISCITA
JCLATZA 69,COLGANTE AZABACHE LABRADO
JCLATZA 65,COLGANTE AZABACHE LABRADO
